::1 - - [09/Jun/2024:18:30:09 +0000] "GET / HTTP/1.1" 200 7855 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:30:25 +0000] "GET / HTTP/1.1" 304 - "http://localhost:8000/users/allUsers/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:30:25 +0000] "GET /chat/getPreviousMessages/null/ HTTP/1.1" 304 - "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:30:25 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:30:26 +0000] "GET / HTTP/1.1" 304 - "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:30:42 +0000] "GET /comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:30:42 +0000] "GET / HTTP/1.1" 200 7855 "http://localhost:8000/comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:31:05 +0000] "GET /comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:31:05 +0000] "GET / HTTP/1.1" 200 7855 "http://localhost:8000/comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:31:26 +0000] "GET /comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15 HTTP/1.1" 302 23 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:31:26 +0000] "GET / HTTP/1.1" 200 7855 "http://localhost:8000/comments/665b0bbcfdcada7a7116d594/comments?skip=0&limit=15" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:31:53 +0000] "GET / HTTP/1.1" 200 7855 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:32:02 +0000] "GET / HTTP/1.1" 200 7855 "-" "PostmanRuntime/7.39.0"
::1 - - [09/Jun/2024:18:33:29 +0000] "GET /users/sign-out HTTP/1.1" 302 46 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:29 +0000] "GET / HTTP/1.1" 200 8313 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:29 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:29 +0000] "GET / HTTP/1.1" 200 7855 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:34 +0000] "GET /?pageNo=2 HTTP/1.1" 200 9909 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:35 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:35 +0000] "GET / HTTP/1.1" 304 - "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:46 +0000] "GET /users/sign-in HTTP/1.1" 304 - "http://localhost:8000/?pageNo=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:46 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/users/sign-in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:46 +0000] "GET / HTTP/1.1" 304 - "http://localhost:8000/users/sign-in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:50 +0000] "POST /users/create-session HTTP/1.1" 302 46 "http://localhost:8000/users/sign-in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:51 +0000] "GET / HTTP/1.1" 200 16343 "http://localhost:8000/users/sign-in" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:51 +0000] "GET /chat/getPreviousMessages/null/ HTTP/1.1" 304 - "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:51 +0000] "GET /favicon.ico HTTP/1.1" 302 23 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
::1 - - [09/Jun/2024:18:33:51 +0000] "GET / HTTP/1.1" 200 15884 "http://localhost:8000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36"
